"STN","WBAN","DAYOFMONTH","TEMP","DEWP","STP","WDSP"
690190,13910,1,47.1095833333333,22.9,955.6,10.4
690190,13910,2,50.9158333333333,25,952.5,14
690190,13910,3,56.7154166666667,30.7,948.6,17.2
690190,13910,4,31.585,14.3,963.7,8.3
690190,13910,5,34.3933333333333,14.6,965.4,4.6
690190,13910,6,43.335,17.6,956.2,3.8
690190,13910,7,52.55875,24.7,956.7,8.36099980548531
690190,13910,8,62.9016666666667,42.7,944.8,19.5
690190,13910,9,50.36625,37,946.3,13.4
690190,13910,10,33.88625,14.3,960.5,15.2
690190,13910,11,39.57875,19,957.8,4.8
690190,13910,12,46.335,23.4,958.5,4.9
690190,13910,13,52.25125,34.6,946.9,21.8
690190,13910,14,66.2316666666667,39.9,941.1,17.5
690190,13910,15,39.32375,5.3,960.3,15.1
690190,13910,16,30.1341666666667,5.7,958.3,6.3
690190,13910,17,45.42125,30.8,953,5.1
690190,13910,18,55.7129166666667,50.2,952.5,10.1
690190,13910,19,56.3608333333333,42,954,7.1
690190,13910,20,52.66,31.9,951.4,9
690190,13910,21,34.4470833333333,8,962.8,10.9
690190,13910,22,27.0845833333333,0.1,964.1,8
690190,13910,23,44.6345833333333,31.5,946.5,19.6
690190,13910,24,49.4779166666667,28.8,952.2,6.9
690190,13910,25,49.2241666666667,30.1,954,13
690190,13910,26,67.46,54.4,945.6,18.3
690190,13910,27,57.95125,31,947.6,16
690190,13910,28,41.6145833333333,7.2,958.4,6.2
690190,13910,29,51.2366666666667,10.8,960.8,3
690190,13910,30,60.3941666666667,18.2,955.1,10.5
690190,13910,31,50.3791666666667,22.3,960.5,7.7
690190,99999,1,46.5495833333333,23,980.389514514515,10.4
690190,99999,2,50.9191666666667,24.6,980.389514514515,13.6
690190,99999,3,57.7070833333333,30.7,980.389514514515,17.2
690190,99999,4,40.24375,15.1,980.389514514515,8.4
690190,99999,5,38.3204166666667,14.2,980.389514514515,4.7
690190,99999,6,43.9683333333333,17.3,980.389514514515,3.9
690190,99999,7,47.3825,24.3,980.389514514515,8.36099980548531
690190,99999,8,62.4120833333333,41.8,980.389514514515,20
690190,99999,9,51.54,37.8,980.389514514515,13.1
690190,99999,10,33.025,14.8,980.389514514515,15.8
690190,99999,11,44.4325,18.5,980.389514514515,4.9
690190,99999,12,49.3145833333333,23.4,980.389514514515,4.6
690190,99999,13,58.10125,34.1,980.389514514515,21.2
690190,99999,14,67.2775,40.4,980.389514514515,18.4
690190,99999,15,53.7521558922911,5.5,980.389514514515,15.2
690190,99999,16,28.69,4.6,980.389514514515,6.6
690190,99999,17,47.8829166666667,30.6,980.389514514515,5.4
690190,99999,18,54.7816666666667,49.2,980.389514514515,9.4
690190,99999,19,55.5083333333333,43,980.389514514515,7.7
690190,99999,20,53.72375,32.6,980.389514514515,8.5
690190,99999,21,33.9483333333333,8.4,980.389514514515,11.2
690190,99999,22,30.9,0.2,980.389514514515,7.8
690190,99999,23,47.57625,30.1,980.389514514515,19.4
690190,99999,24,51.62375,29.7,980.389514514515,7.3
690190,99999,25,55.62375,28.8,980.389514514515,12.8
690190,99999,26,68.87,54.2,980.389514514515,18.4
690190,99999,27,60.1954166666667,33.1,980.389514514515,16
690190,99999,28,38.4,7.1,980.389514514515,6.4
690190,99999,29,48.0508333333333,10.4,980.389514514515,2.8
690190,99999,30,56.8345833333333,18,980.389514514515,10.3
690190,99999,31,50.5166666666667,22.2,980.389514514515,7.7
720110,53983,1,52.1420833333333,24.8,980.2,9.8
720110,53983,2,52.7155337006812,22,982.4,4.5
720110,53983,3,63.6691666666667,42.9,974.7,6
720110,53983,4,43.8445833333333,20.1,987.1,8.5
720110,53983,5,38.2120833333333,15.5,990.6,3.2
720110,53983,6,61.226464179706,19.5,983.1,1.7
720110,53983,7,53.8845833333333,25.7,984.1,3.3
720110,53983,8,63.16625,49.2,974.7,8.3
720110,53983,9,54.9766666666667,53.5,967.8,7.1
720110,53983,10,37.055,21.6,984.3,15.3
720110,53983,11,49.5366666666667,19.3,983,6.2
720110,53983,12,47.4441666666667,27.8,985.2,2.6
720110,53983,13,59.3154166666667,38.8,977.4,9.9
720110,53983,14,70.02375,50.2,969.3,7.3
720110,53983,15,51.64,25.6,982.2,9.4
720110,53983,16,36.2133333333333,21.3,985.1,4.5
720110,53983,17,47.5654166666667,37.9,980.1,4.4
720110,53983,18,60.5225,53.2,979.3,4.8
720110,53983,19,65.4554166666667,56.4,979,5.6
720110,53983,20,64.93,50.3,976.8,3.6
